simulation_index,goal_1_final,goal_2_final,goal_3_final
434,22292196.377711162,703130867785.1837,17660892.50613623
435,15926379.241471676,327558601.87994605,3.8609454031769805e+18
436,483056145758.50494,94368834163.81062,8.5687798302071e+18
437,21441.706751891,2002545577315.3162,3.2618449112709654e+20
438,22617037601.051277,1718684070234.9507,1.011763898591851e+16
439,192808.23921444424,2525914334.531321,7387934772860077.0
440,214919.16000260465,61961417.89714595,1.7786700685124814e+23
441,83802754.44480592,7570419114089.953,3.3500194967363612e+16
442,149595564.37635902,1541604096644.9473,96022069340658.92
443,96924760879.5178,13451132023869.686,6.961314415094559e+16
444,21018.667650891963,50680845894.395424,225918057573402.6
445,3253.6922149614966,164436010762.07037,14887558.345757399
446,412302.1634156862,14091677019969.229,1.7685769303078244e+18
447,3705765.24841194,13263215142346.932,9.78596007450691e+18
448,2516100849.415287,60195641.113763615,1.3028568367387618e+17
449,524650784.24323493,40799.03817824374,1.2385336701982528e+17
450,18796578375.535873,11397250686906.904,2.545358316811106e+17
451,82963802.75954506,3255441261251.526,2.7360717352534934e+19
452,111411287.11322504,12478079.311438456,805892.492765495
453,4122380.910128761,1982658943.8828712,1397052634.7453492
454,98065.31748897182,1765954090.8495924,1.2154770637646024e+17
455,3804275.890200915,51946500.71801057,5729687.696945172
456,784783.5982741234,31231719182258.848,255012759652327.72
457,19660542.573912986,4391493.179474345,586349467599918.8
458,311222945.6606078,128432405559.9631,4077593919764070.0
459,416621.1895979402,90785063.35596153,1.6100095527792904e+19
460,9394191.323051868,1646032518186612.8,5.793905558026682e+21
461,88046697.1556038,424206800.1863051,1.002087890651082e+21
462,10827.37503418694,152135602039704.44,5.067340412340927e+17
463,125325939.2480987,911025481247.5094,2.3755274467100234e+19
464,5166809.570266107,663092240257092.5,1.2965032575042848e+26
465,27749009.23642804,39214175552.53945,3.175571979703588e+20
466,2370306.4062574636,2389907864294.7554,1.3255335288181287e+19
467,10629097615.411793,42297023704840.234,22253371267487.258
468,66656533.023964465,1.351838938412869e+16,4.1906542164255885e+17
469,108900.83470792959,437077482982.0326,2.118461176405416e+16
470,6790506.651590872,54025584.42323794,1435463253.3129141
471,740448538.3485276,12191.630501924054,4.231288990742627e+17
472,10520693466.768854,7508500436.243425,9.709600312941074e+18
473,2430052724.5910482,319415480.6470793,2.0524838697847877e+18
474,227640579.29571283,245122967089450.8,8289977073003.576
475,783264.9464077107,103076028860.70116,6.204982182305651e+17
476,2246404123417.7373,1899941155562.5264,4.5184731470668286e+24
477,7370775.426109086,3313555500821174.5,2.4490399182259252e+16
478,4608875.549630996,77283005274.95038,7993116277426121.0
479,5933125.530314357,353025492663126.7,57342489067135.03
480,172307485.69028646,563454218931.0248,2.380997206803615e+18
